EntrezID	GeneName	GeneSymbol
100287513	ubiquitin specific peptidase 17-like family member 22	USP17L22
100287932	translocase of inner mitochondrial membrane 23 homolog (yeast)	TIMM23
100288520	ubiquitin specific peptidase 17-like family member 15	USP17L15
100289017	monooxygenase, DBH-like 2, pseudogene	MOXD2P
100289087	testis specific protein, Y-linked 10	TSPY10
100289635	zinc finger protein 605	ZNF605
100289678	zinc finger family member 783	ZNF783
100293516	zinc finger protein 587B	ZNF587B
1003	cadherin 5, type 2 (vascular endothelium)	CDH5
100307126	charged multivesicular body protein 4B pseudogene 1	CHMP4BP1
100316904	Sin3A-associated protein, 25kDa	SAP25
10036	chromatin assembly factor 1, subunit A (p150)	CHAF1A
10038	poly (ADP-ribose) polymerase 2	PARP2
10039	poly (ADP-ribose) polymerase family, member 3	PARP3
1004	cadherin 6, type 2, K-cadherin (fetal kidney)	CDH6
10040	target of myb1 (chicken)-like 1	TOM1L1
10042	HMG box domain containing 4	HMGXB4
10044	SH2 domain containing 3C	SH2D3C
10046	mastermind-like domain containing 1	MAMLD1
10048	RAN binding protein 9	RANBP9
10049	DnaJ (Hsp40) homolog, subfamily B, member 6	DNAJB6
1005	cadherin 7, type 2	CDH7
10050	solute carrier family 17 (sodium phosphate), member 4	SLC17A4
100505503	ribosomal protein S17-like	RPS17L
100505705	stress responsive DNAJB4 interacting membrane protein 1	SDIM1
100505852	zinc finger protein 355, pseudogene	ZNF355P
100506084	ADP-ribosylation factor-like 17B	ARL17B
100506164	heat shock transcription factor family, X linked 1	HSFX1
100506243	KRAB box domain containing 1	KRBOX1
100506422	putative deoxyuridine 5'-triphosphate nucleotidohydrolase-like protein FLJ16323	LOC100506422
100506627	doublecortin domain containing 5	DCDC5
100506888	transcription elongation factor B polypeptide 3C-like 2	TCEB3CL2
100507290	zinc finger protein 865	ZNF865
10051	structural maintenance of chromosomes 4	SMC4
10052	gap junction protein, gamma 1, 45kDa	GJC1
100528032	KLRC4-KLRK1 readthrough	KLRC4-KLRK1
10053	adaptor-related protein complex 1, mu 2 subunit	AP1M2
100533105	C8orf44-SGK3 readthrough	C8orf44-SGK3
100533997	MAGEA10-MAGEA5 readthrough	MAGEA10-MAGEA5
10054	ubiquitin-like modifier activating enzyme 2	UBA2
10057	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	ABCC5
10058	ATP-binding cassette, sub-family B (MDR/TAP), member 6	ABCB6
10059	dynamin 1-like	DNM1L
10060	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	ABCC9
10061	ATP-binding cassette, sub-family F (GCN20), member 2	ABCF2
100616101	endogenous retrovirus group K, member 10	ERVK-10
10066	secretory carrier membrane protein 2	SCAMP2
10067	secretory carrier membrane protein 3	SCAMP3
10068	interleukin 18 binding protein	IL18BP
10069	RWD domain containing 2B	RWDD2B
10071	mucin 12, cell surface associated	MUC12
10073	snurportin 1	SNUPN
10075	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase	HUWE1
10076	protein tyrosine phosphatase, receptor type, U	PTPRU
10077	tetraspanin 32	TSPAN32
10079	ATPase, class II, type 9A	ATP9A
1008	cadherin 10, type 2 (T2-cadherin)	CDH10
10081	programmed cell death 7	PDCD7
10083	Usher syndrome 1C (autosomal recessive, severe)	USH1C
10085	EGF-like repeats and discoidin I-like domains 3	EDIL3
100862688	endogenous retrovirus group K, member 11	ERVK-11
10089	potassium channel, subfamily K, member 7	KCNK7
1009	cadherin 11, type 2, OB-cadherin (osteoblast)	CDH11
10090	uronyl-2-sulfotransferase	UST
10092	actin related protein 2/3 complex, subunit 5, 16kDa	ARPC5
10095	actin related protein 2/3 complex, subunit 1B, 41kDa	ARPC1B
10096	ARP3 actin-related protein 3 homolog (yeast)	ACTR3
1010	cadherin 12, type 2 (N-cadherin 2)	CDH12
10102	Ts translation elongation factor, mitochondrial	TSFM
10105	peptidylprolyl isomerase F	PPIF
10109	actin related protein 2/3 complex, subunit 2, 34kDa	ARPC2
10110	serum/glucocorticoid regulated kinase 2	SGK2
10112	kinesin family member 20A	KIF20A
10113	prolactin regulatory element binding	PREB
10114	homeodomain interacting protein kinase 3	HIPK3
10116	fem-1 homolog b (C. elegans)	FEM1B
10117	enamelin	ENAM
10120	ARP1 actin-related protein 1 homolog B, centractin beta (yeast)	ACTR1B
10121	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)	ACTR1A
10124	ADP-ribosylation factor-like 4A	ARL4A
10125	RAS guanyl releasing protein 1 (calcium and DAG-regulated)	RASGRP1
10126	dynein, axonemal, light chain 4	DNAL4
1013	cadherin 15, type 1, M-cadherin (myotubule)	CDH15
10131	TNF receptor-associated protein 1	TRAP1
10133	optineurin	OPTN
10134	B-cell receptor-associated protein 31	BCAP31
10135	nicotinamide phosphoribosyltransferase	NAMPT
10139	ADP-ribosylation factor related protein 1	ARFRP1
1014	cadherin 16, KSP-cadherin	CDH16
10143	C-type lectin domain family 3, member A	CLEC3A
10146	GTPase activating protein (SH3 domain) binding protein 1	G3BP1
10148	Epstein-Barr virus induced 3	EBI3
10149	G protein-coupled receptor 64	GPR64
1015	cadherin 17, LI cadherin (liver-intestine)	CDH17
10152	abl-interactor 2	ABI2
10153	CCAAT/enhancer binding protein (C/EBP), zeta	CEBPZ
10154	plexin C1	PLXNC1
10155	tripartite motif containing 28	TRIM28
10156	RAS p21 protein activator 4	RASA4
10157	aminoadipate-semialdehyde synthase	AASS
10160	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)	FARP1
10161	lysophosphatidic acid receptor 6	LPAR6
10162	lysophosphatidylcholine acyltransferase 3	LPCAT3
10163	WAS protein family, member 2	WASF2
10165	solute carrier family 25 (aspartate/glutamate carrier), member 13	SLC25A13
10168	zinc finger protein 197	ZNF197
10169	small EDRK-rich factor 2	SERF2
1017	cyclin-dependent kinase 2	CDK2
10171	RNA terminal phosphate cyclase-like 1	RCL1
10172	zinc finger protein 256	ZNF256
10174	sorbin and SH3 domain containing 3	SORBS3
10175	cornichon homolog (Drosophila)	CNIH
1018	cyclin-dependent kinase 3	CDK3
10180	RNA binding motif protein 6	RBM6
10181	RNA binding motif protein 5	RBM5
10188	tyrosine kinase, non-receptor, 2	TNK2
10190	thioredoxin domain containing 9	TXNDC9
10193	ring finger protein 41	RNF41
10194	teashirt zinc finger homeobox 1	TSHZ1
10195	ALG3, alpha-1,3- mannosyltransferase	ALG3
10196	protein arginine methyltransferase 3	PRMT3
10197	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)	PSME3
10199	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)	MPHOSPH10
10202	dehydrogenase/reductase (SDR family) member 2	DHRS2
10203	calcitonin receptor-like	CALCRL
10204	nuclear transport factor 2	NUTF2
10205	myelin protein zero-like 2	MPZL2
10206	tripartite motif containing 13	TRIM13
10207	InaD-like (Drosophila)	INADL
10209	eukaryotic translation initiation factor 1	EIF1
1021	cyclin-dependent kinase 6	CDK6
10210	topoisomerase I binding, arginine/serine-rich, E3 ubiquitin protein ligase	TOPORS
10211	flotillin 1	FLOT1
10212	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39A	DDX39A
10213	proteasome (prosome, macropain) 26S subunit, non-ATPase, 14	PSMD14
10214	synovial sarcoma, X breakpoint 3	SSX3
10216	proteoglycan 4	PRG4
10217	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like	CTDSPL
10219	killer cell lectin-like receptor subfamily G, member 1	KLRG1
1022	cyclin-dependent kinase 7	CDK7
10220	growth differentiation factor 11	GDF11
10224	zinc finger protein 443	ZNF443
10225	CD96 molecule	CD96
10227	major facilitator superfamily domain containing 10	MFSD10
10229	coenzyme Q7 homolog, ubiquinone (yeast)	COQ7
10231	regulator of calcineurin 2	RCAN2
10232	mesothelin	MSLN
10233	leucine rich repeat containing 23	LRRC23
10234	leucine rich repeat containing 17	LRRC17
10235	RAS guanyl releasing protein 2 (calcium and DAG-regulated)	RASGRP2
10236	heterogeneous nuclear ribonucleoprotein R	HNRNPR
10237	solute carrier family 35, member B1	SLC35B1
10238	DDB1 and CUL4 associated factor 7	DCAF7
10241	calcium binding and coiled-coil domain 2	CALCOCO2
10243	gephyrin	GPHN
10244	Rab9 effector protein with kelch motifs	RABEPK
10245	translocase of inner mitochondrial membrane 17 homolog B (yeast)	TIMM17B
10246	solute carrier family 17 (sodium phosphate), member 2	SLC17A2
10248	processing of precursor 7, ribonuclease P/MRP subunit (S. cerevisiae)	POP7
1025	cyclin-dependent kinase 9	CDK9
10250	serine/arginine repetitive matrix 1	SRRM1
10252	sprouty homolog 1, antagonist of FGF signaling (Drosophila)	SPRY1
10253	sprouty homolog 2 (Drosophila)	SPRY2
10257	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	ABCC4
1026	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	CDKN1A
10262	splicing factor 3b, subunit 4, 49kDa	SF3B4
10265	iroquois homeobox 5	IRX5
10266	receptor (G protein-coupled) activity modifying protein 2	RAMP2
10269	zinc metallopeptidase STE24	ZMPSTE24
1027	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	CDKN1B
10272	follistatin-like 3 (secreted glycoprotein)	FSTL3
10273	STIP1 homology and U-box containing protein 1, E3 ubiquitin protein ligase	STUB1
10274	stromal antigen 1	STAG1
10276	neuroepithelial cell transforming 1	NET1
10277	ubiquitination factor E4B	UBE4B
10278	embryonal Fyn-associated substrate	EFS
10279	protease, serine, 16 (thymus)	PRSS16
1028	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	CDKN1C
10280	sigma non-opioid intracellular receptor 1	SIGMAR1
10281	Down syndrome critical region gene 4	DSCR4
10282	blocked early in transport 1 homolog (S. cerevisiae)	BET1
10283	CWC27 spliceosome-associated protein homolog (S. cerevisiae)	CWC27
10284	Sin3A-associated protein, 18kDa	SAP18
10285	survival motor neuron domain containing 1	SMNDC1
10287	regulator of G-protein signaling 19	RGS19
10288	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2	LILRB2
1029	cyclin-dependent kinase inhibitor 2A	CDKN2A
10290	SPEG complex locus	SPEG
10291	splicing factor 3a, subunit 1, 120kDa	SF3A1
10295	branched chain ketoacid dehydrogenase kinase	BCKDK
10296	macrophage erythroblast attacher	MAEA
10297	adenomatosis polyposis coli 2	APC2
10298	p21 protein (Cdc42/Rac)-activated kinase 4	PAK4
10300	katanin p80 (WD repeat containing) subunit B 1	KATNB1
10308	zinc finger protein 267	ZNF267
10309	cyclin O	CCNO
1031	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	CDKN2C
10312	T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3	TCIRG1
10313	reticulon 3	RTN3
10317	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5	B3GALT5
10319	laminin, gamma 3	LAMC3
1032	cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)	CDKN2D
10321	cysteine-rich secretory protein 3	CRISP3
10322	SMYD family member 5	SMYD5
10325	Ras-related GTP binding B	RRAGB
10326	signal-regulatory protein beta 1	SIRPB1
10327	aldo-keto reductase family 1, member A1 (aldehyde reductase)	AKR1A1
1033	cyclin-dependent kinase inhibitor 3	CDKN3
10335	murine retrovirus integration site 1 homolog	MRVI1
10336	polycomb group ring finger 3	PCGF3
10345	triadin	TRDN
10346	tripartite motif containing 22	TRIM22
10347	ATP-binding cassette, sub-family A (ABC1), member 7	ABCA7
10349	ATP-binding cassette, sub-family A (ABC1), member 10	ABCA10
10351	ATP-binding cassette, sub-family A (ABC1), member 8	ABCA8
10360	nucleophosmin/nucleoplasmin 3	NPM3
10363	high mobility group 20A	HMG20A
10365	Kruppel-like factor 2 (lung)	KLF2
10368	calcium channel, voltage-dependent, gamma subunit 3	CACNG3
10369	calcium channel, voltage-dependent, gamma subunit 2	CACNG2
10371	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A	SEMA3A
10376	tubulin, alpha 1b	TUBA1B
10379	interferon regulatory factor 9	IRF9
10380	3'(2'), 5'-bisphosphate nucleotidase 1	BPNT1
10381	tubulin, beta 3 class III	TUBB3
10384	butyrophilin, subfamily 3, member A3	BTN3A3
10385	butyrophilin, subfamily 2, member A2	BTN2A2
10389	sex comb on midleg-like 2 (Drosophila)	SCML2
103910	myosin, light chain 12B, regulatory	MYL12B
10393	anaphase promoting complex subunit 10	ANAPC10
10395	deleted in liver cancer 1	DLC1
10396	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1	ATP8A1
10398	myosin, light chain 9, regulatory	MYL9
10399	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1	GNB2L1
104	adenosine deaminase, RNA-specific, B1	ADARB1
10401	protein inhibitor of activated STAT, 3	PIAS3
10402	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	ST3GAL6
10403	NDC80 kinetochore complex component	NDC80
10406	WAP four-disulfide core domain 2	WFDC2
10407	sperm associated antigen 11B	SPAG11B
10408	MYCN opposite strand/antisense RNA	MYCNOS
10410	interferon induced transmembrane protein 3	IFITM3
10411	Rap guanine nucleotide exchange factor (GEF) 3	RAPGEF3
10412	NSA2 ribosome biogenesis homolog (S. cerevisiae)	NSA2
10413	Yes-associated protein 1	YAP1
10418	spondin 1, extracellular matrix protein	SPON1
10419	protein arginine methyltransferase 5	PRMT5
10420	testis-specific kinase 2	TESK2
10422	UBA domain containing 1	UBAC1
10423	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	CDIPT
10424	progesterone receptor membrane component 2	PGRMC2
10425	ariadne homolog 2 (Drosophila)	ARIH2
10427	SEC24 family, member B (S. cerevisiae)	SEC24B
10428	craniofacial development protein 1	CFDP1
1043	CD52 molecule	CD52
10432	RNA binding motif protein 14	RBM14
10436	EMG1 nucleolar protein homolog (S. cerevisiae)	EMG1
10439	olfactomedin 1	OLFM1
10440	translocase of inner mitochondrial membrane 17 homolog A (yeast)	TIMM17A
10443	NEDD4 binding protein 2-like 2	N4BP2L2
10445	microspherule protein 1	MCRS1
10446	leucine rich repeat neuronal 2	LRRN2
10447	family with sequence similarity 3, member C	FAM3C
1045	caudal type homeobox 2	CDX2
10450	peptidylprolyl isomerase E (cyclophilin E)	PPIE
10452	translocase of outer mitochondrial membrane 40 homolog (yeast)	TOMM40
10454	TGF-beta activated kinase 1/MAP3K7 binding protein 1	TAB1
10455	enoyl-CoA delta isomerase 2	ECI2
10456	HCLS1 associated protein X-1	HAX1
10459	MAD2 mitotic arrest deficient-like 2 (yeast)	MAD2L2
1046	caudal type homeobox 4	CDX4
10460	transforming, acidic coiled-coil containing protein 3	TACC3
10461	c-mer proto-oncogene tyrosine kinase	MERTK
10462	C-type lectin domain family 10, member A	CLEC10A
10463	solute carrier family 30 (zinc transporter), member 9	SLC30A9
10465	peptidylprolyl isomerase H (cyclophilin H)	PPIH
10466	component of oligomeric golgi complex 5	COG5
1047	calmegin	CLGN
10471	prefoldin subunit 6	PFDN6
10472	zinc finger and BTB domain containing 18	ZBTB18
10476	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit d	ATP5H
10478	solute carrier family 25 (mitochondrial carrier; peroxisomal membrane protein, 34kDa), member 17	SLC25A17
10479	solute carrier family 9, subfamily A (NHE6, cation proton antiporter 6), member 6	SLC9A6
10480	eukaryotic translation initiation factor 3, subunit M	EIF3M
10483	Sec23 homolog B (S. cerevisiae)	SEC23B
10484	Sec23 homolog A (S. cerevisiae)	SEC23A
10487	CAP, adenylate cyclase-associated protein 1 (yeast)	CAP1
10490	vesicle transport through interaction with t-SNAREs 1B	VTI1B
10493	vesicle amine transport protein 1 homolog (T. californica)	VAT1
10494	serine/threonine kinase 25	STK25
10495	ecto-NOX disulfide-thiol exchanger 2	ENOX2
10497	unc-13 homolog B (C. elegans)	UNC13B
10498	coactivator-associated arginine methyltransferase 1	CARM1
10499	nuclear receptor coactivator 2	NCOA2
105	adenosine deaminase, RNA-specific, B2	ADARB2
1050	CCAAT/enhancer binding protein (C/EBP), alpha	CEBPA
10505	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4F	SEMA4F
10507	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	SEMA4D
10509	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B	SEMA4B
1051	CCAAT/enhancer binding protein (C/EBP), beta	CEBPB
10514	MYB binding protein (P160) 1a	MYBBP1A
10518	calcium and integrin binding family member 2	CIB2
10519	calcium and integrin binding 1 (calmyrin)	CIB1
10520	zinc finger protein 211	ZNF211
10521	DEAD (Asp-Glu-Ala-Asp) box helicase 17	DDX17
10522	DEAF1 transcription factor	DEAF1
10523	calcium homeostasis endoplasmic reticulum protein	CHERP
10524	K(lysine) acetyltransferase 5	KAT5
10525	hypoxia up-regulated 1	HYOU1
10527	importin 7	IPO7
10528	NOP56 ribonucleoprotein	NOP56
1053	CCAAT/enhancer binding protein (C/EBP), epsilon	CEBPE
10531	pitrilysin metallopeptidase 1	PITRM1
10533	autophagy related 7	ATG7
10536	leprecan-like 2	LEPREL2
10537	ubiquitin D	UBD
10538	basic leucine zipper transcription factor, ATF-like	BATF
1054	CCAAT/enhancer binding protein (C/EBP), gamma	CEBPG
10540	dynactin 2 (p50)	DCTN2
10542	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5	LAMTOR5
10544	protein C receptor, endothelial	PROCR
10548	transmembrane 9 superfamily member 1	TM9SF1
10549	peroxiredoxin 4	PRDX4
10550	ADP-ribosylation-like factor 6 interacting protein 5	ARL6IP5
10551	anterior gradient 2 homolog (Xenopus laevis)	AGR2
10553	HIV-1 Tat interactive protein 2, 30kDa	HTATIP2
10556	ribonuclease P/MRP 30kDa subunit	RPP30
10557	ribonuclease P/MRP 38kDa subunit	RPP38
10559	solute carrier family 35 (CMP-sialic acid transporter), member A1	SLC35A1
1056	carboxyl ester lipase (bile salt-stimulated lipase)	CEL
10560	solute carrier family 19 (thiamine transporter), member 2	SLC19A2
10561	interferon-induced protein 44	IFI44
10564	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)	ARFGEF2
10565	ADP-ribosylation factor guanine nucleotide-exchange factor 1 (brefeldin A-inhibited)	ARFGEF1
10566	A kinase (PRKA) anchor protein 3	AKAP3
10572	SIVA1, apoptosis-inducing factor	SIVA1
10573	mitochondrial ribosomal protein L28	MRPL28
10575	chaperonin containing TCP1, subunit 4 (delta)	CCT4
10576	chaperonin containing TCP1, subunit 2 (beta)	CCT2
10579	transforming, acidic coiled-coil containing protein 2	TACC2
1058	centromere protein A	CENPA
10580	sorbin and SH3 domain containing 1	SORBS1
10581	interferon induced transmembrane protein 2	IFITM2
10586	mab-21-like 2 (C. elegans)	MAB21L2
10587	thioredoxin reductase 2	TXNRD2
10588	5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase)	MTHFS
10589	DR1-associated protein 1 (negative cofactor 2 alpha)	DRAP1
1059	centromere protein B, 80kDa	CENPB
10591	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	DNPH1
10594	PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae)	PRPF8
10595	endoplasmic reticulum to nucleus signaling 2	ERN2
10597	trafficking protein particle complex 2 pseudogene 1	TRAPPC2P1
10598	AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)	AHSA1
10599	solute carrier organic anion transporter family, member 1B1	SLCO1B1
10600	ubiquitin specific peptidase 16	USP16
10602	CDC42 effector protein (Rho GTPase binding) 3	CDC42EP3
10603	SH2B adaptor protein 2	SH2B2
10605	poly(A) binding protein interacting protein 1	PAIP1
10606	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	PAICS
10607	transducin (beta)-like 3	TBL3
10608	MAX dimerization protein 4	MXD4
10612	tripartite motif containing 3	TRIM3
10614	hexamethylene bis-acetamide inducible 1	HEXIM1
10615	sperm associated antigen 5	SPAG5
10616	RanBP-type and C3HC4-type zinc finger containing 1	RBCK1
10617	STAM binding protein	STAMBP
1062	centromere protein E, 312kDa	CENPE
10620	AT rich interactive domain 3B (BRIGHT-like)	ARID3B
10622	polymerase (RNA) III (DNA directed) polypeptide G (32kD)	POLR3G
10626	tripartite motif containing 16	TRIM16
10627	myosin, light chain 12A, regulatory, non-sarcomeric	MYL12A
10628	thioredoxin interacting protein	TXNIP
10629	TAF6-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa	TAF6L
1063	centromere protein F, 350/400kDa	CENPF
10630	podoplanin	PDPN
10631	periostin, osteoblast specific factor	POSTN
10633	RAS-like, family 10, member A	RASL10A
10634	growth arrest-specific 2 like 1	GAS2L1
10635	RAD51 associated protein 1	RAD51AP1
10636	regulator of G-protein signaling 14	RGS14
10637	left-right determination factor 1	LEFTY1
10638	S-phase response (cyclin related)	SPHAR
10641	nitrogen permease regulator-like 2 (S. cerevisiae)	NPRL2
10642	insulin-like growth factor 2 mRNA binding protein 1	IGF2BP1
10643	insulin-like growth factor 2 mRNA binding protein 3	IGF2BP3
10652	YKT6 v-SNARE homolog (S. cerevisiae)	YKT6
10653	serine peptidase inhibitor, Kunitz type, 2	SPINT2
10656	KH domain containing, RNA binding, signal transduction associated 3	KHDRBS3
10657	KH domain containing, RNA binding, signal transduction associated 1	KHDRBS1
10659	CUGBP, Elav-like family member 2	CELF2
10660	ladybird homeobox 1	LBX1
10664	CCCTC-binding factor (zinc finger protein)	CTCF
10668	cell growth regulator with ring finger domain 1	CGRRF1
10669	cell growth regulator with EF-hand domain 1	CGREF1
10670	Ras-related GTP binding A	RRAGA
10671	dynactin 6	DCTN6
10672	guanine nucleotide binding protein (G protein), alpha 13	GNA13
10677	advillin	AVIL
10681	guanine nucleotide binding protein (G protein), beta 5	GNB5
10682	emopamil binding protein (sterol isomerase)	EBP
10683	delta-like 3 (Drosophila)	DLL3
10687	paraneoplastic Ma antigen 2	PNMA2
1069	centrin, EF-hand protein, 2	CETN2
10691	glucocorticoid modulatory element binding protein 1	GMEB1
10695	canopy 3 homolog (zebrafish)	CNPY3
10699	corin, serine peptidase	CORIN
107	adenylate cyclase 1 (brain)	ADCY1
1070	centrin, EF-hand protein, 3	CETN3
1071	cholesteryl ester transfer protein, plasma	CETP
10712	family with sequence similarity 189, member B	FAM189B
10713	ubiquitin specific peptidase 39	USP39
10714	polymerase (DNA-directed), delta 3, accessory subunit	POLD3
10715	ceramide synthase 1	CERS1
10716	T-box, brain, 1	TBR1
10718	neuregulin 3	NRG3
10723	solute carrier family 12 (potassium/chloride transporters), member 7	SLC12A7
10724	meningioma expressed antigen 5 (hyaluronidase)	MGEA5
10725	nuclear factor of activated T-cells 5, tonicity-responsive	NFAT5
10726	nuclear distribution C homolog (A. nidulans)	NUDC
10728	prostaglandin E synthase 3 (cytosolic)	PTGES3
10733	polo-like kinase 4	PLK4
10734	stromal antigen 3	STAG3
10735	stromal antigen 2	STAG2
10736	SIX homeobox 2	SIX2
10741	retinoblastoma binding protein 9	RBBP9
10743	retinoic acid induced 1	RAI1
10744	pituitary tumor-transforming 2	PTTG2
10745	putative homeodomain transcription factor 1	PHTF1
10747	mannan-binding lectin serine peptidase 2	MASP2
10750	GRB2-related adaptor protein	GRAP
10752	cell adhesion molecule with homology to L1CAM (close homolog of L1)	CHL1
10753	calpain 9	CAPN9
10761	placenta-specific 1	PLAC1
10762	nucleoporin 50kDa	NUP50
10763	nestin	NES
10765	lysine (K)-specific demethylase 5B	KDM5B
10768	adenosylhomocysteinase-like 1	AHCYL1
10769	polo-like kinase 2	PLK2
10771	zinc finger, MYND-type containing 11	ZMYND11
10772	serine/arginine-rich splicing factor 10	SRSF10
10775	processing of precursor 4, ribonuclease P/MRP subunit (S. cerevisiae)	POP4
10776	cAMP-regulated phosphoprotein, 19kDa	ARPP19
10777	cAMP-regulated phosphoprotein, 21kDa	ARPP21
10781	zinc finger protein 266	ZNF266
10785	WD repeat domain 4	WDR4
10786	solute carrier family 17 (sodium phosphate), member 3	SLC17A3
10787	NCK-associated protein 1	NCKAP1
10788	IQ motif containing GTPase activating protein 2	IQGAP2
10791	vesicle-associated membrane protein 5	VAMP5
10793	zinc finger protein 273	ZNF273
10795	zinc finger protein 268	ZNF268
10798	olfactory receptor, family 5, subfamily I, member 1	OR5I1
10799	ribonuclease P/MRP 40kDa subunit	RPP40
10801	septin 9	SEPT9
10802	SEC24 family, member A (S. cerevisiae)	SEC24A
10803	chemokine (C-C motif) receptor 9	CCR9
10804	gap junction protein, beta 6, 30kDa	GJB6
